
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# IsoCurve 0, 100 points
# x y z type
-2 -2  99 i
-2 -1.95181  97.56 i
-1.9596 -1.95181  92.6223 i
-1.91919 -1.95181  87.9077 i
-1.87879 -1.95181  83.4087 i
-1.83838 -1.95181  79.1177 i
-1.79798 -1.95181  75.0273 i
-1.75758 -1.95181  71.1304 i
-1.71717 -1.95181  67.4199 i
-1.67677 -1.95181  63.889 i
-1.63636 -1.95181  60.5309 i
-1.59596 -1.95181  57.3391 i
-1.55556 -1.95181  54.3072 i
-1.51515 -1.95181  51.4289 i
-1.47475 -1.95181  48.6982 i
-1.43434 -1.95181  46.1092 i
-1.39394 -1.95181  43.6561 i
-1.35354 -1.95181  41.3332 i
-1.31313 -1.95181  39.1352 i
-1.27273 -1.95181  37.0569 i
-1.23232 -1.95181  35.0929 i
-1.19192 -1.95181  33.2385 i
-1.15152 -1.95181  31.4889 i
-1.11111 -1.95181  29.8393 i
-1.07071 -1.95181  28.2853 i
-1.0303 -1.95181  26.8225 i
-0.989899 -1.95181  25.447 i
-0.949495 -1.95181  24.1545 i
-0.909091 -1.95181  22.9414 i
-0.868687 -1.95181  21.8038 i
-0.828283 -1.95181  20.7384 i
-0.787879 -1.95181  19.7417 i
-0.747475 -1.95181  18.8105 i
-0.707071 -1.95181  17.9419 i
-0.666667 -1.95181  17.1328 i
-0.626263 -1.95181  16.3807 i
-0.585859 -1.95181  15.6829 i
-0.545455 -1.95181  15.0371 i
-0.505051 -1.95181  14.441 i
-0.464646 -1.95181  13.8925 i
-0.424242 -1.95181  13.3898 i
-0.383838 -1.95181  12.931 i
-0.343434 -1.95181  12.5145 i
-0.30303 -1.95181  12.139 i
-0.262626 -1.95181  11.8031 i
-0.222222 -1.95181  11.5057 i
-0.181818 -1.95181  11.2459 i
-0.141414 -1.95181  11.0229 i
-0.10101 -1.95181  10.8359 i
-0.0606061 -1.95181  10.6846 i
-0.020202 -1.95181  10.5687 i
 0.020202 -1.95181  10.4879 i
